source,Message ID,Date,Text,Currency Pair,Entry Price,Stop Loss,Take Profits,Trade Action
FOREX SIGNALS GROUP,2209,2024-05-21 05:39:19,"NZD/JPY BOS Trade - Buy @ 95.64, SL 95.09, TARGET 97.27. Chris",NZDJPY,95.64,95.09,{'TARGET': '97.27'},BUY
FOREX SIGNALS GROUP,2174,2024-05-20 05:08:03,"NZD/CHF BOS - .5579, SL .5541, TARGET .5657. Chris",NZDCHF,0.5579,0.5541,{'TARGET': '0.5657'},BUY
FOREX SIGNALS GROUP,2172,2024-05-20 05:05:03,"AUD/CAD BOS trade @ .9127, SL .9078, TARGET .9228. Chris",AUDCAD,0.9127,0.9078,{'TARGET': '0.9228'},BUY
Trading Pit Signals,1770,2024-05-23 01:33:14,NEW SIGNAL 🔥   USD/CAD BUY @ 1.36931  TP1 - 1.37031 TP2 - 1.37131 TP3 - 1.37351  SL - 1.36631  When first position hits TP1 move SL to breakeven on the remaining positions.,USDCAD,1.36931,1.36631,"{'TP1': '1.37031', 'TP2': '1.37131', 'TP3': '1.37351'}",BUY
Trading Pit Signals,1767,2024-05-22 08:24:58,NEW SIGNAL 🔥   EUR/NZD SELL @ 1.77454  TP1 - 1.77304 TP2 - 1.77154 TP3 - 1.76824  SL - 1.77904  When first position hits TP1 move SL to breakeven on the remaining positions.,EURNZD,1.77454,1.77904,"{'TP1': '1.77304', 'TP2': '1.77154', 'TP3': '1.76824'}",SELL
Trading Pit Signals,1765,2024-05-22 02:18:09,NEW SIGNAL 🔥   EUR/JPY BUY @ 169.692  TP1 - 169.842 TP2 - 169.992 TP3 - 170.322  SL - 169.242  When first position hits TP1 move SL to breakeven on the remaining positions.,EURJPY,169.692,169.242,"{'TP1': '169.842', 'TP2': '169.992', 'TP3': '170.322'}",BUY
Trading Pit Signals,1760,2024-05-21 08:12:21,NEW SIGNAL 🔥   AUD/NZD SELL @ 1.09208  TP1 - 1.09108 TP2 - 1.09008 TP3 - 1.08788  SL - 1.09508  When first position hits TP1 move SL to breakeven on the remaining positions.,AUDNZD,1.09208,1.09508,"{'TP1': '1.09108', 'TP2': '1.09008', 'TP3': '1.08788'}",SELL
Trading Pit Signals,1759,2024-05-21 01:23:48,NEW SIGNAL 🔥   CHF/JPY BUY @ 171.784  TP1 - 171.934 TP2 - 172.084 TP3 - 172.414  SL - 171.334  When first position hits TP1 move SL to breakeven on the remaining positions.,CHFJPY,171.784,171.334,"{'TP1': '171.934', 'TP2': '172.084', 'TP3': '172.414'}",BUY
Trading Pit Signals,1755,2024-05-20 07:45:50,NEW SIGNAL 🔥   USD/JPY BUY @ 155.670  TP1 - 155.820 TP2 - 155.970 TP3 - 156.300  SL - 155.220  When first position hits TP1 move SL to breakeven on the remaining positions.,USDJPY,155.670,155.220,"{'TP1': '155.820', 'TP2': '155.970', 'TP3': '156.300'}",BUY
Trading Pit Signals,1754,2024-05-20 00:59:42,NEW SIGNAL 🔥   EUR/USD BUY @ 1.08752  TP1 - 1.08852 TP2 - 1.08952 TP3 - 1.09172  SL - 1.08452  When first position hits TP1 move SL to breakeven on the remaining positions.,EURUSD,1.08752,1.08452,"{'TP1': '1.08852', 'TP2': '1.08952', 'TP3': '1.09172'}",BUY
Trading Pit Signals,1751,2024-05-16 07:52:55,NEW SIGNAL 🔥   EUR/USD BUY @ 1.08765  TP1 - 1.08865 TP2 - 1.08965 TP3 - 1.09185  SL - 1.08465  When first position hits TP1 move SL to breakeven on the remaining positions.,EURUSD,1.08765,1.08465,"{'TP1': '1.08865', 'TP2': '1.08965', 'TP3': '1.09185'}",BUY
The Charting Society,2244,2024-05-22 12:58:50,XAUUSD BUY : 2412.0  TP: open   SL⛔️-2405.0 (70 pips),XAUUSD,2412.0,2405.0,,BUY
The Charting Society,2239,2024-05-21 09:09:37,XAUUSD BUY : 2417.0  TP: open   SL⛔️-2411.0 (70 pips),XAUUSD,2417.0,2411.0,,BUY
The Charting Society,2234,2024-05-16 13:00:06,XAUUSD BUY : 2379.0  TP: open   SL⛔️-2372.0 (70 pips)  Here’s another one for you as we closed out the other at breakeven before news 🤝👀,XAUUSD,2379.0,2372.0,,BUY
The Charting Society,2232,2024-05-16 11:47:03,XAUUSD BUY : 2384.5  TP: open   SL⛔️-2379.0 (55 pips),XAUUSD,2384.5,2379.0,,BUY
